Time,Mean,95% CI min,95% CI max
0.750000,0.000000,0.000000,0.000000
1.750000,0.000000,0.000000,0.000000
2.750000,0.000000,0.000000,0.000000
3.750000,0.000000,0.000000,0.000000
4.750000,0.000000,0.000000,0.000000
5.750000,0.000000,0.000000,0.000000
6.750000,0.000000,0.000000,0.000000
7.750000,0.000000,0.000000,0.000000
8.750000,0.000000,0.000000,0.000000
9.750000,0.000000,0.000000,0.000000
10.750000,0.000000,0.000000,0.000000
11.750000,0.000000,0.000000,0.000000
12.750000,0.000000,0.000000,0.000000
13.750000,0.000000,0.000000,0.000000
14.750000,0.000000,0.000000,0.000000
15.750000,0.000000,0.000000,0.000000
16.750000,1.000000,1.000000,1.000000
17.750000,1.000000,1.000000,1.000000
18.750000,0.000000,0.000000,0.000000
19.750000,0.000000,0.000000,0.000000
20.750000,0.000000,0.000000,0.000000
21.750000,0.000000,0.000000,0.000000
22.750000,0.000000,0.000000,0.000000
23.750000,0.000000,0.000000,0.000000
24.750000,1.000000,1.000000,1.000000
25.750000,0.000000,0.000000,0.000000
26.750000,0.000000,0.000000,0.000000
27.750000,0.000000,0.000000,0.000000
28.750000,2.000000,2.000000,2.000000
29.750000,1.000000,1.000000,1.000000
30.750000,1.000000,1.000000,1.000000
31.750000,0.000000,0.000000,0.000000
32.750000,1.000000,1.000000,1.000000
33.750000,1.000000,1.000000,1.000000
34.750000,4.000000,4.000000,4.000000
35.750000,5.000000,5.000000,5.000000
36.750000,5.000000,5.000000,5.000000
37.750000,3.000000,3.000000,3.000000
38.750000,5.000000,5.000000,5.000000
39.750000,6.000000,6.000000,6.000000
40.750000,11.000000,11.000000,11.000000
41.750000,7.000000,7.000000,7.000000
42.750000,8.000000,8.000000,8.000000
43.750000,15.000000,15.000000,15.000000
44.750000,9.000000,9.000000,9.000000
45.750000,17.000000,17.000000,17.000000
46.750000,28.000000,28.000000,28.000000
47.750000,21.000000,21.000000,21.000000
48.750000,30.000000,30.000000,30.000000
49.750000,17.000000,17.000000,17.000000
50.750000,39.000000,39.000000,39.000000
51.750000,44.000000,44.000000,44.000000
52.750000,33.000000,33.000000,33.000000
53.750000,57.000000,57.000000,57.000000
54.750000,76.000000,76.000000,76.000000
55.750000,75.000000,75.000000,75.000000
56.750000,85.000000,85.000000,85.000000
57.750000,99.000000,99.000000,99.000000
58.750000,125.000000,125.000000,125.000000
59.750000,114.000000,114.000000,114.000000
60.750000,150.000000,150.000000,150.000000
61.750000,168.000000,168.000000,168.000000
62.750000,165.000000,165.000000,165.000000
63.750000,191.000000,191.000000,191.000000
64.750000,217.000000,217.000000,217.000000
65.750000,222.000000,222.000000,222.000000
66.750000,241.000000,241.000000,241.000000
67.750000,257.000000,257.000000,257.000000
68.750000,277.000000,277.000000,277.000000
69.750000,258.000000,258.000000,258.000000
70.750000,264.000000,264.000000,264.000000
71.750000,252.000000,252.000000,252.000000
72.750000,248.000000,248.000000,248.000000
73.750000,238.000000,238.000000,238.000000
74.750000,275.000000,275.000000,275.000000
75.750000,252.000000,252.000000,252.000000
76.750000,254.000000,254.000000,254.000000
77.750000,247.000000,247.000000,247.000000
78.750000,207.000000,207.000000,207.000000
79.750000,236.000000,236.000000,236.000000
80.750000,214.000000,214.000000,214.000000
81.750000,174.000000,174.000000,174.000000
82.750000,184.000000,184.000000,184.000000
83.750000,176.000000,176.000000,176.000000
84.750000,176.000000,176.000000,176.000000
85.750000,139.000000,139.000000,139.000000
86.750000,135.000000,135.000000,135.000000
87.750000,130.000000,130.000000,130.000000
88.750000,129.000000,129.000000,129.000000
89.750000,118.000000,118.000000,118.000000
90.750000,86.000000,86.000000,86.000000
91.750000,104.000000,104.000000,104.000000
92.750000,73.000000,73.000000,73.000000
93.750000,78.000000,78.000000,78.000000
94.750000,64.000000,64.000000,64.000000
95.750000,67.000000,67.000000,67.000000
96.750000,59.000000,59.000000,59.000000
97.750000,59.000000,59.000000,59.000000
98.750000,47.000000,47.000000,47.000000
99.750000,42.000000,42.000000,42.000000
100.750000,38.000000,38.000000,38.000000
101.750000,48.000000,48.000000,48.000000
102.750000,29.000000,29.000000,29.000000
103.750000,31.000000,31.000000,31.000000
104.750000,21.000000,21.000000,21.000000
105.750000,30.000000,30.000000,30.000000
106.750000,22.000000,22.000000,22.000000
107.750000,17.000000,17.000000,17.000000
108.750000,21.000000,21.000000,21.000000
109.750000,20.000000,20.000000,20.000000
110.750000,11.000000,11.000000,11.000000
111.750000,11.000000,11.000000,11.000000
112.750000,10.000000,10.000000,10.000000
113.750000,7.000000,7.000000,7.000000
114.750000,11.000000,11.000000,11.000000
115.750000,10.000000,10.000000,10.000000
116.750000,6.000000,6.000000,6.000000
117.750000,4.000000,4.000000,4.000000
118.750000,7.000000,7.000000,7.000000
119.750000,7.000000,7.000000,7.000000
120.750000,2.000000,2.000000,2.000000
121.750000,3.000000,3.000000,3.000000
122.750000,1.000000,1.000000,1.000000
123.750000,5.000000,5.000000,5.000000
124.750000,2.000000,2.000000,2.000000
125.750000,1.000000,1.000000,1.000000
126.750000,2.000000,2.000000,2.000000
127.750000,0.000000,0.000000,0.000000
128.750000,2.000000,2.000000,2.000000
129.750000,3.000000,3.000000,3.000000
130.750000,2.000000,2.000000,2.000000
131.750000,0.000000,0.000000,0.000000
132.750000,2.000000,2.000000,2.000000
133.750000,5.000000,5.000000,5.000000
134.750000,1.000000,1.000000,1.000000
135.750000,1.000000,1.000000,1.000000
136.750000,1.000000,1.000000,1.000000
137.750000,2.000000,2.000000,2.000000
138.750000,3.000000,3.000000,3.000000
